Burst,Pause,Syntactic.Context.of.the.pause,Distance.to.theme.after,Distance.to.theme.before,Thematic.element.with.pause,Thematic.element.without.pause,Non.Themetic.with.pause,Non.Thematic.without.pause,topical,evaluative,thematized.CA,marked,enhanced,textual,file_id
Da,1.183,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE2>Dating,6.064,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
o,1.007,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
nline vs re,1.055,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE19>,8.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Social connection,1.775,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
<MOUSECLICK><MOUSECLICK>,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<LEFT17>,2.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<ENTER2><UP2>,12.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ADVANTAGES,3.024,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
OF,4.831,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ONLINE DATING BEFORE,3.407,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
REAL-LIFE DAT,1.44,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ING,1.648,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,2.752,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<RIGHT1><BACKSPACE1>,1.719,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK> IS,1.472,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE2>,1.376,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE1>is,7.376,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
a basic necessity oh human,1.232,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"<BACKSPACE1>iy<BACKSPACE1>ty, be",1.055,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE4>,1.408,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
".<BACKSPACE1>, be it platonical or romantical.",4.408,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK><BACKSPACE1>g<BACKSPACE1>f,12.567,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,2.344,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<RIGHT1>,1.823,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
We,1.296,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"<BACKSPACE3>In the modern times,",2.432,end PP,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1
desire,2.303,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
for human <BACKSPACE6>such connection is,2.672,end VP,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
accom,1.568,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
modated,1.872,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
by the,7.207,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.263,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK><MOUSECLICK>,1.28,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.952,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ease <BACKSPACE6>existence,1.392,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
of,1.632,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
several dating applications that,1.232,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
one can easily download,1.152,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
to,2.36,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK><HIGHLIGHT 258:257><MOUSECLICK>,1.079,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK><HIGHLIGHT 257:254><MOUSECLICK>,1.072,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<REPLACED>peiop<BACKSPACE3>,1.088,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
ople ca<BACKSPACE3>,1.296,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>their mobile phones.,7.135,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
This,19.592,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,1.928,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<LEFT1>,3.143,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<MOUSECLICK>,3.544,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE4>,1.072,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
hrough these,2.528,end NP,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"<BACKSPACE6>Tinder. <BACKSPACE2>, Hinge",2.224,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
",",1.264,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Bumble, and many other dating applications, people have met online and",4.08,end NP,0,26,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1
formed,6.288,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
romantical relationship.,8.32,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
This might,1.312,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE4>,1.36,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
<BACKSPACE3>,5.584,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
